Beast,Magische Tierwesen
Being,Zauberwesen
Halfblood,"Halbblut, halbblütig"
Halfbreed,"""Halbblut"", Halbmensch"
Mudblood,Schlammblut
Muggle,Muggel
Pureblood,"reinblütig, Reinblut"
Spirit,Geist/Gespenst
Wand Carriers,Zauberstabträger
Wizard,Zauberer
Witch,Hexe
Bloody Baron,Blutiger Baron
Bodrod the Bearded,Bodrod der Bärtige
Bran the Bloodthirsty,Bran der Blutdürstige
Buckbeak / Witherwings,Seidenschnabel / Federflügel
Crookshanks,Krummbein
Ethelred the Ever-Ready,Ingbert der Immerbereite
Fat Lady,Fette Dame
Fat Friar,Fetter Mönch
Grey Lady,Graue Dame
Merchieftainess Murcus,Seehäuptlingin Murcus
Moaning Myrtle,Maulende Myrte
Nearly Headless Nick,Fast Kopfloser Nick
"Norbert, the Norwegian Ridgeback",Norbert norwegische Stachelbuckel
Padfoot,Tatze
Prongs,Krone
Scabbers,Krätze
Urg the Unclean,Urg der Unsaubere
Wormtail,Wurmschwanz
Cyclops,Zyklop
Death Eater,Todesser
International Association of Quidditch,Internationaler Quidditchverband
"Order of the Phoenix, The","Orden des Phönix, Der"
S.P.E.W. - Society for the Promotion of Elfish Welfare,B.ELFE.R. - Bund für Elfenrechte
SSS - Society for the Support of Squibs,GUS - Gesellschaft zur Unterstützung von Squibs
Society for Distressed Witches,Vereinigung für verzweifelte Hexen
Anti-werewolf legislation,Anti-Werwolf-Gesetz
Ban on Importing Flying Carpets,Einfuhrverbot für fliegende Teppiche
Code of Wand Use,Gesetz zum Gebrauch des Zauberstabs
Decree for the Reasonable Restriction of Underage Sorcery,Erlass zur vernunftgemäßen Beschränkung der Zauberei Minderjähriger
Educational Decree,Ausbildungserlasse
Guidelines for the Treatment of Non-Wizard Part-Humans,Richtlinien für die Behandlung nichtmagischer Teilmenschen
International Ban on Duelling,Internationales Duellverbots-Abkommen
M.O.M-Classification,ZM-Klassifizierung
Non-Tradeable Substance,Nichtverkäufliche Substanzen
Registry of Proscribed Charmable Objects,Liste Verbotener Verhexbarer Gegenstände
Werewolf Code of Conduct,Benimmregeln für Werwölfe
Azkaban,Askaban
"Burrow, The",Der Fuchsbau
"Chamber of Secrets, The",Die Kammer des Schreckens
Department for the Regulation and Control of Magical Creatures,Abteilung zur Führung und Aufsicht Magischer Geschöpfe
Department of International Magical Cooperation,Abteilung für Internationale Magische Zusammenarbeit
Department of Magical Accidents and Catastrophes,Abteilung für Magische Unfälle und Katastrophen
Department of Magical Games and Sports,Abteilung für Magische Spiele und Sportarten
Department of Magical Law Enforcement,Abteilung für Magische Strafverfolgung
Department of Magical Transportation,Abteilung für Magisches Transportwesen
Department of Mysteries,Mysteriumsabteilung
Dervish & Banges,Derwisch und  Banges
Diagon Alley,Winkelgasse
Gambol & Japes,Freud und  Leid
Hog's Head,Eberkopf
Greenhouses,Gewächshäuser
High security vault,Hochsicherheitsverlies
Hogwarts - School for Witchcraft and Wizardry,Hogwarts - Schule für Hexerei und Zauberei
Honeydukes,Honigtopf
Hospital Wing,Krankenflügel
Improper Use of Magic Office,Büro gegen den Missbrauch der Magie
"International Confederation of Wizards, British Seats","Internationale Vereinigung der Zauberer, britische Sektion"
International Magical Office of Law,Internationales Büro für magisches Recht
Junk shop,Kramladen
Knockturn Alley,Nokturngasse
"Leaky Chauldron, The",Zum Tropfenden Kessel
Ministry of Magic,Zaubereiministerium
Misuse of Muggle Artefacts Office,Büro gegen den Missbrauch von Muggelartefakten
Office of House-Elf Relocation,Amt für die Neuzuteilung von Hauselfen
Office of Misinformation,Amt für Desinformation
Owlery,Eulerei
Pest Advisory Bureau,Seuchenberatungsbüro
Privet Drive,Ligusterweg
Purge & Dowse Ltd.,Reinig & Tunkunter GmbH
Railview Hotel,Hotel zum Bahnblick
Room of Requirements,Raum der Wünsche
Salems Witches Institute,Hexeninstitut von Salem
Scrivenshaft's Quill Shop,Schreiberlings Federladen
Secret Passages,Geheimgänge
Shrieking Shack,Heulende Hütte
Stoatshead Hill,Wieselkopf
